Full name:;Short name;Headquarters;Description;Founded;Cellular Networks Installed;Supported Cellular Data Links;Cellular Network Operator;Covered Countries;Covered Regions
Kcell JSC;Kcell;Almaty;Kcell JSC is a part of the largest Scandinavian telecommunications holding – TeliaCompany. Kcell Company provides communication services in the GSM (900/1800), UMTS/WCDMA (2100 MHz), LTE(4G), LTE Advanced (700/800 MHz and 1700/1800 MHz) standards. The Company was founded in 1998 and provides cellular services under the brand name of Kcell, which mainly focuses on the B2B segment, and activ, which is focused on the B2C segment. As of December 31, 2015, Kcell subscriber base amounted to 10 357 thousand people.;1998;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) , LTE 800 MHz (Band 20) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;Kazakhstan covered;
Cellcom Israel;Cellcom IL;Netanya;;1994;GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 850MHz (Band V, CLR) , LTE 1800 MHz (Band 3) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;Israel covered;
Claro Peru;Claro PE;Lima;América Móvil Perú SAC is the subsidiary of América Móvil [2017-04-30 14:47:36];2005;GSM 850MHz (B5) , GSM 1900MHz (PCS, B2) , UMTS 850MHz (Band V, CLR) , LTE 1900 MHz (Band 2, PCS) , LTE 2600 MHz (Band 7) , LTE 700 MHz (Band 28) networks;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 225 Mbps / 50 Mbps data links;No;Peru covered;
Movistar Peru;Movistar PE;Lima;Telefónica del Perú S.A.A. Subsidiary of Telefónica S.A.;1920;GSM 850MHz (B5) , GSM 1900MHz (PCS, B2) , UMTS 850MHz (Band V, CLR) , LTE 1700/2100 MHz (Band 4, AWS) , LTE 700 MHz (Band 28) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Peru covered;
Hutchison Drei Austria;Drei Austria;;Three Austria. Parent organization: Hutchison Whampoa;2003;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 2600 MHz (Band 7) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Austria covered;
T-Mobile Austria;T-Mobile AT;Vienna;Subsidiaries: Tele.Ring Telekom Service GmbH, T-Infrastruktur Holding GmbH, T-Mobile International Austria GmbH. Parent organization: T-Mobile Austria Holding GmbH;2002;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;Austria covered;
A1 Telekom Austria;A1;Vienna;;1996;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;Austria covered;
Smart Communications, Inc;Smart PH;Makati City;The largest telecommunication service provider in Philippines. Subsidiary of PLDT, Inc.;2010;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 850MHz (Band V, CLR) , UMTS 900MHz (Band VIII) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 850 MHz (Band 5) , LTE 700 MHz (Band 28) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;Philippines covered;
EE Limited UK;EE UK;Hatfield;Joint venture between T-Mobile UK of Deutsche Telekom (Germany) and Orange UK of Orange S.A. (France) estabilshed in 2010;2010;GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) , TD-NR 3500 MHz (N78) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) , LTE 1 Gbps / 100 Mbps (LTE Cat. 16) , LTE 1.2 Gbps / 200 Mbps (LTE Cat. 18) , LTE 2 Gbps / 300 Mbps (LTE Cat. 20) data links;No;UK covered;
Taiwan Mobile;TM;Taipei City;Taiwan Mobile is the third largest cellular operator in Taiwan;1997;GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) , LTE 700 MHz (Band 28) networks;GPRS (Class unspecified) , GPRS Multi-slot Class 32 , EDGE (Class unspecified) , EDGE Multi-slot Class 32 , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Taiwan covered;
Taiwan Star Telecom Corporation Limited;T Star;Taipei City;Formerly Vibo Telecom Inc.;2000;UMTS 2100MHz (Band I, IMT) , LTE 2600 MHz (Band 7) , LTE 900 MHz (Band 8) networks;HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Taiwan covered;
Claro Chile;Claro CL;Santiago;Claro Chile S.A. is the subsidiary of América Móvil;1997;GSM 1900MHz (PCS, B2) , UMTS 1900MHz (Band II, PCS) , UMTS 1700/2100MHz (Band IV, AWS) , UMTS 850MHz (Band V, CLR) , UMTS 900MHz (Band VIII) , LTE 1700/2100 MHz (Band 4, AWS) , LTE 2600 MHz (Band 7) , LTE 700 MHz (Band 28) networks;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 225 Mbps / 50 Mbps data links;No;Chile covered;
MTS Russia;MTC;Moscow;MTC (in Russian) / MTS (in English meaning Mobile TeleSystems) is the largest cellular operator in Russia;1993;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Russia covered;
PT Smartfren Telecom;Smartfren;Jakarta;Formerly PT Mobile-8 Telecom, Tbk. CDMA+LTE cellular operator;2006;CDMA 800MHz (BC0, 850) , CDMA 1900MHz (BC1/BC14, PCS) , LTE 1800 MHz (Band 3) , LTE 850 MHz (Band 5) , TD-LTE 2300 MHz (Band XL) networks;cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , CDMA2000 1xEV-DO Revision B , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) data links;No;Indonesia covered;
UQ Communications;UQ mobile;Tokyo;KDDI WiMAX 2+ (TDD-LTE) network;2007;LTE 850 MHz (Band 26) , TD-LTE 2500 MHz (Band XLI) , TD-LTE 3500 MHz (Band XLII) networks;LTE (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 225 Mbps / 50 Mbps data links;KDDI Corporation;Japan covered;
FarEasTone Telecommunications;FarEasTone;Taipei City;FET is the second largest cellular operator in Taiwan.;1997;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) , LTE 700 MHz (Band 28) networks;GPRS (Class unspecified) , GPRS Multi-slot Class 32 , EDGE (Class unspecified) , EDGE Multi-slot Class 32 , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Taiwan covered;
Vodafone Portugal;Vodafone PT;Lisbon;Fully owned subsidiary of the Vodafone Group;1992;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) , NR 700 MHz (N28) , TD-NR 3500 MHz (N78) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , LTE (Cat. unspecified) , LTE 150 Mbps / 50 Mbps (Cat. 4) , NR 1.5 Gbps , NR 2.6 Gbps data links;No;Portugal covered;
Y! Mobile eAccess Ltd.;Y! Mobile;Tokyo;Subsidiary of SoftBank Corp.;2014;UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , UMTS 1500MHz (Band XI) , LTE 2100 MHz (Band 1) , LTE 900 MHz (Band 8) , LTE 1700/1800 MHz (Band 9) , TD-LTE 2500 MHz (Band XLI) networks;UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , LTE (Cat. unspecified) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;SoftBank Corp.;Japan covered;
SoftBank Corp.;SoftBank;Tokyo;;1981;UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , UMTS 1700/1800MHz (Band IX) , UMTS 1500MHz (Band XI) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 900 MHz (Band 8) , LTE 1500 MHz (Band 11) , LTE 700 MHz (Band 28) , TD-LTE 2500 MHz (Band XLI) , TD-LTE 3500 MHz (Band XLII) , NR 1800 MHz (N3) , NR 700 MHz (N28) , TD-NR 3700 MHz (N77) , TD-NR 28 GHz (N257) networks;UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 750 Mbps / 225 Mbps (LTE Cat. 15) , LTE 1.2 Gbps / 200 Mbps (LTE Cat. 18) , NR 1.5 Gbps , NR 2.6 Gbps , NR 3.7 Gbps data links;No;Japan covered;
Vodafone Spain;Vodafone ES;Madrid;Vodafone Espana. Previously Airtel Móviles, S.A. Currently shares are held by Vodafone Group PLC. and British Telecommunications PLC.;2000;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) , TD-LTE 2600 MHz (Band 38) , TD-NR 3500 MHz (N78) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) data links;No;Spain covered;
Nextel Chile;Nextel CL;Santiago;;2000;GSM 850MHz (B5) , GSM 1900MHz (PCS, B2) , UMTS 1700/2100MHz (Band IV, AWS) , LTE 1700/2100 MHz (Band 4, AWS) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Chile covered;
Nextel Mexico;Nextel MX;;;1987;GSM 850MHz (B5) , GSM 1900MHz (PCS, B2) , UMTS 1900MHz (Band II, PCS) , UMTS 850MHz (Band V, CLR) , LTE 1700/2100 MHz (Band 4, AWS) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Mexico covered;
Karbonn Mobiles;Karbonn;Bangalore, Noida;;2009;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) networks;CSD 9.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) data links;No;India , South Africa covered;
TracFone Wireless;TracFone;Miami, Florida USA;Mobile virtual network operator (MVNO) utilizes Verizon Wireless, AT&T Mobility, T-Mobile USA, Sprint, and U.S. Cellular networks.;1996;GSM 850MHz (B5)GSM850 phones support GSM 850 MHz (B5) band (downlink: 869.2 MHz - 894.2 MHz, uplink: 824.2 MHz - 849.2 MHz)  , GSM 900MHz (B8)GSM900 phones support P-GSM (Primary GSM) 900 MHz (B8) band (downlink: 935.0 MHz - 960.0 MHz, uplink: 890.0 MHz - 915.0 MHz) and may support E-GSM (Extended GSM) 900 MHz band (downlink: 925.0 MHz - 960.0 MHz, uplink: 880.0 MHz- 915.0 MHz.  , GSM 1800MHz (B3)GSM1800 phones support GSM / DCS / PCS 1800 MHz (B3) band (downlink: 1805.2 - 1879.8 MHz, uplink: 1710.2 - 1784.8 MHz). , GSM 1900MHz (PCS, B2)GSM1900 phones support PCS 1900 MHz (B2) band (downlink: 1930.2 - 1989.8 MHz, uplink: 1850.2 - 1909.8 MHz)  , UMTS 1900MHz (Band II, PCS)UMTS1900 phones support UMTS 1900MHz (PCS, also refferred as UMTS Band II) band (downlink: 1932.4 - 1987.6 MHz, uplink: 1852.4-1907.6 MHz) , UMTS 850MHz (Band V, CLR)UMTS850 phones support UMTS 850 MHz (CLR, also refferred as UMTS Band V) band (downlink: 871.4 - 891.6 MHz, uplink: 826.4 - 846.6 MHz) , CDMA 800MHz (BC0, 850)CDMA800 phones support CDMA 800 MHz (CDMA Band Class 0, also known as CDMA850) band (downlink: 860 MHz - 894 MHz, uplink: 815 MHz - 849 MHz). , CDMA 1900MHz (BC1/BC14, PCS)CDMA1900 phones support PCS, also referred as CDMA Band Class 1 band (downlink: 1930 - 1990 MHz, uplink: 1850 - 1910 MHz) and US PCS, also referred as CDMA Band Class 14 band (downlink: 1930 - 1995 MHz, uplink: 1850 - 1915 MHz) , LTE 1700/2100 MHz (Band 4, AWS)LTE1700/2100 phones support LTE 1700 / 2100 MHz (AWS also referred as LTE Band 4) band (downlink: 2110 - 2155 MHz, uplink: 1710 - 1755 MHz) , LTE 700 MHz (Band 13)LTE700 phones support LTE 700 MHz (LTE Band 13) band (downlink: 746 - 756 MHz, uplink: 777 - 787 MHz);GPRS (Class unspecified)General Packet Radio Service , EDGE (Class unspecified)Enhanced Data Rates for GSM Evolution also known as Enhanced GPRS (EGPRS) , UMTS 384 kbps (W-CDMA)Universal Mobile Telecommunications System. UMTS Release '99 data link layer, W-CDMA grants up to 384 kbit/s pocket-switched download speed. , HSUPA (Cat. unspecified)High-Speed Uplink Packet Access is a 3.5G UMTS uplink protocol. , HSDPA (Cat. unspecified)High-Speed Downlink Packet Access is a 3.5G UMTS downlink protocol. , HSPA+ 21.1 Mbps (Cat. 18) , cdmaOne (IS-95) , CDMA2000 1xRTT (IS-2000) , CDMA2000 1xEV-DO Rel. 0 , CDMA2000 1xEV-DO Revision A , LTE (Cat. unspecified)LTE (Long Term Evolution) or the E-UTRAN (Evolved Universal Terrestrial Access Network), introduced in 3GPP R8, is the 4G access part of the Evolved Packet System (EPS). , LTE 100 Mbps / 50 Mbps (Cat. 3)LTE 100.8 Mbps / 50.4 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4)LTE 151.2 Mbps / 50.4 Mbps (Cat. 4);Verizon Wireless;Puerto Rico , USA covered;
Salt Mobile SA / Orange CH;Salt Mobile;Renens;Previously known as Orange Communications SA / Orange Switzerland;1999;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) data links;No;Switzerland covered;
O2 Germany;O2 DE;Munich;Telefónica Germany GmbH & Co. OHG;1995;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Germany covered;
Vodafone Australia;Vodafone AU;Chatswood, New South Wales;VHA. Subsidiary of Vodafone Hutchison Australia (Hutchison Telecommunications).;1992;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 850MHz (Band V, CLR) , UMTS 900MHz (Band VIII) , LTE 2100 MHz (Band 1) , LTE 1800 MHz (Band 3) networks;GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , LTE (Cat. unspecified) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;Australia covered;Australia
Vodafone Italia;Vodafone IT;Milan;Vodafone Italia S.p.A. Formerly Omnitel Pronto-Italia. Subsidiary of Vodafone Group PLC.;1990;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 1800 MHz (Band 3) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) , LTE 1500 MHz (Band 32) , TD-NR 3500 MHz (N78) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSUPA 1.46 Mbps (Cat. 2) , HSUPA 2.0 Mbps (Cat. 5) , HSUPA 5.76 Mbps (Cat. 6) , HSUPA 11.5 Mbps (Cat. 7) , HSDPA (Cat. unspecified) , HSDPA 1.8 Mbps (Cat. 4) , HSDPA 3.6 Mbps (Cat. 6) , HSDPA 7.2 Mbps (Cat. 8) , HSDPA 10.2 Mbps (Cat. 9) , HSDPA 14.4 Mbps (Cat. 10) , HSPA+ 21.1 Mbps (Cat. 18) , HSPA+ 28.8 Mbps (Cat. 16) , HSPA+ 42.2 Mbps (Cat. 20) , DC-HSDPA 42.2 Mbps (Cat. 24) , LTE 100 Mbps / 50 Mbps (Cat. 3) , LTE 150 Mbps / 50 Mbps (Cat. 4) , LTE 300 Mbps / 50 Mbps (Cat. 6) , LTE 450 Mbps / 50 Mbps (LTE Cat. 9) , LTE 600 Mbps / 50 Mbps (LTE Cat. 11) data links;No;Italy covered;
Vodafone Germany;Vodafone DE;Düsseldorf;Subsidiary of Vodafone Group PLC.;1990;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) , LTE 700 MHz (Band 28) , NR 700 MHz (N28) , TD-NR 3500 MHz (N78) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE 150 Mbps / 50 Mbps (Cat. 4) , NR 2.6 Gbps , NR 3.7 Gbps data links;No;Germany , UK covered;
Vodafone United Kingdom;Vodafone UK;Newbury, Berkshire;Subsidiary of Vodafone Group PLC.;1982;GSM 900MHz (B8) , GSM 1800MHz (B3) , UMTS 2100MHz (Band I, IMT) , UMTS 900MHz (Band VIII) , LTE 2600 MHz (Band 7) , LTE 800 MHz (Band 20) networks;CSD 9.6 kbps , HSCSD 57.6 kbps , GPRS (Class unspecified) , EDGE (Class unspecified) , UMTS 384 kbps (W-CDMA) , HSUPA (Cat. unspecified) , HSDPA (Cat. unspecified) , HSPA+ 21.1 Mbps (Cat. 18) , LTE 150 Mbps / 50 Mbps (Cat. 4) data links;No;UK covered;
S Mobility Limited;Spice;India;;;GSM 900MHz (B8)GSM900 phones support P-GSM (Primary GSM) 900 MHz (B8) band (downlink: 935.0 MHz - 960.0 MHz, uplink: 890.0 MHz - 915.0 MHz) and may support E-GSM (Extended GSM) 900 MHz band (downlink: 925.0 MHz - 960.0 MHz, uplink: 880.0 MHz- 915.0 MHz.  , GSM 1800MHz (B3)GSM1800 phones support GSM / DCS / PCS 1800 MHz (B3) band (downlink: 1805.2 - 1879.8 MHz, uplink: 1710.2 - 1784.8 MHz). , UMTS 2100MHz (Band I, IMT;GPRS (Class unspecified)General Packet Radio Service , EDGE (Class unspecified)Enhanced Data Rates for GSM Evolution also known as Enhanced GPRS (EGPRS) , UMTS 384 kbps (W-CDMA)Universal Mobile Telecommunications System. UMTS Release '99 data link layer, W-CDMA grants up to 384 kbit/s pocket-switched download speed. , HSUPA (Cat. unspecified)High-Speed Uplink Packet Access is a 3.5G UMTS uplink protocol. , HSDPA (Cat. unspecified);No;India covered;
